brand,model_year,milage,fuel_type,ext_col,int_col,accident,price,horsepower,displacement,cylinders,transmission_type,gears
7,2018,46711.0,3,3,0,0,1,304.0,3.6,6.0,0,6.0
37,2017,46496.0,3,0,3,1,2,375.0,5.6,8.0,0,7.0
34,2019,19800.0,3,3,0,1,2,362.0,3.0,6.0,0,9.0
49,2008,175000.0,3,0,6,0,1,381.0,5.7,8.0,0,6.0
49,2016,61500.0,3,9,0,1,3,381.0,5.7,8.0,0,8.0
41,2016,49750.0,3,0,3,1,3,280.0,3.6,6.0,0,6.0
23,2007,38800.0,3,5,5,1,4,493.0,5.0,10.0,0,7.0
26,2011,83765.0,3,0,0,1,0,263.0,3.5,6.0,0,6.0
34,2023,7388.0,2,3,6,1,4,355.0,0.0,0.0,0,1.0
23,2023,278.0,3,6,6,1,4,571.0,5.2,10.0,0,7.0
1,2022,1966.0,3,6,0,1,3,280.0,2.9,6.0,0,8.0
8,2021,50648.0,3,1,0,1,1,355.0,1.2,3.0,1,1.0
23,2021,13692.0,3,0,7,1,4,641.0,4.0,8.0,0,8.0
19,2013,60058.0,3,9,6,0,0,328.0,3.7,6.0,0,7.0
30,2017,54423.0,3,0,0,1,1,424.0,3.0,6.0,0,8.0
49,2022,24001.0,3,6,6,1,2,268.0,3.5,6.0,0,8.0
37,2022,14735.0,3,9,0,1,2,284.0,5.6,6.0,0,7.0
3,2023,2425.0,4,0,6,1,2,333.0,2.0,6.0,0,8.0
13,2022,2050.0,3,3,0,1,4,760.0,5.2,8.0,0,8.0
26,2019,64855.0,3,3,6,1,2,450.0,3.5,6.0,0,10.0
34,2022,16238.0,2,9,6,1,3,329.0,0.0,0.0,0,1.0
41,2022,18051.0,3,1,0,1,2,395.0,5.7,8.0,0,8.0
26,2004,36524.0,3,0,0,1,0,239.0,4.6,8.0,0,4.0
0,2022,14896.0,3,3,6,1,1,279.5,2.0,6.0,3,2.0
49,2022,14048.0,4,0,0,1,1,268.0,2.5,4.0,1,1.0
16,2003,224000.0,3,0,3,1,0,160.0,2.4,4.0,2,6.0
34,2014,80581.0,3,3,6,1,1,402.0,4.7,8.0,0,7.0
32,2007,81400.0,3,8,6,0,0,166.0,2.0,4.0,2,6.0
40,2019,6700.0,3,3,0,1,3,300.0,2.0,4.0,0,7.0
13,2015,143000.0,3,3,3,1,1,275.0,3.7,6.0,0,6.0
22,2017,87842.0,3,0,0,1,0,199.5,2.0,4.0,0,6.0
19,2010,116451.0,3,9,3,1,0,328.0,3.7,6.0,2,6.0
37,2019,53677.0,3,8,3,1,1,390.0,5.6,8.0,0,7.0
3,2021,12000.0,4,3,0,1,3,444.0,2.9,6.0,0,8.0
24,2019,20034.0,3,9,6,1,2,380.0,3.0,8.0,0,8.0
13,2020,32000.0,0,0,0,1,3,210.0,2.0,4.0,0,8.0
19,2014,70312.0,3,0,0,1,0,330.0,3.7,6.0,0,7.0
21,2022,8794.0,3,9,0,1,2,285.0,3.6,6.0,0,8.0
26,2010,156000.0,3,0,0,0,0,265.0,3.5,6.0,0,6.0
40,2020,25568.0,3,8,0,1,4,365.0,3.0,6.0,2,7.0
34,2018,67100.0,3,3,0,0,1,362.0,3.0,6.0,0,7.0
40,2014,52000.0,3,1,6,0,1,275.0,2.7,6.0,0,7.0
0,2011,137200.0,3,9,3,1,0,300.0,3.7,6.0,0,8.0
50,2018,36000.0,3,9,0,0,1,292.0,2.0,4.0,0,7.0
22,2023,15500.0,3,9,0,0,1,147.0,2.0,4.0,1,1.0
4,2020,10906.0,3,3,0,1,4,335.0,4.4,6.0,0,8.0
26,2019,49814.0,3,8,6,1,1,304.0,2.0,4.0,0,6.0
4,2015,846.0,5,9,8,1,4,357.0,1.5,3.0,0,8.0
49,2021,67039.0,3,1,0,1,1,268.0,3.5,6.0,0,8.0
32,2023,2636.0,3,3,0,1,1,184.0,2.5,4.0,0,6.0
40,2018,50166.0,3,9,0,0,2,365.0,3.6,6.0,0,8.0
26,2017,37375.0,3,1,2,1,1,400.0,3.0,6.0,0,6.0
48,2021,21600.0,2,9,0,1,1,271.0,0.0,0.0,0,1.0
40,2019,9500.0,3,8,0,0,3,350.0,2.5,4.0,0,7.0
8,2005,143095.0,3,8,0,1,0,400.0,6.0,8.0,0,4.0
0,2002,80000.0,3,6,6,0,0,200.0,2.0,4.0,2,6.0
12,2021,3000.0,3,1,2,1,4,611.0,3.9,8.0,0,8.0
40,2007,5856.0,3,0,0,1,2,295.0,3.4,6.0,2,6.0
43,2013,2958.0,3,10,6,1,4,563.0,6.8,12.0,0,8.0
3,2022,28927.0,3,8,0,1,3,333.0,4.0,8.0,0,8.0
34,2022,4102.0,4,0,0,1,4,603.0,4.0,8.0,0,9.0
16,2021,14442.0,3,9,6,1,1,280.0,3.5,6.0,0,9.0
34,2005,64000.0,3,3,0,1,0,302.0,5.0,8.0,0,7.0
25,2004,154000.0,3,9,6,0,0,235.0,4.7,8.0,0,8.0
25,2015,54000.0,3,9,0,1,1,235.0,2.0,4.0,0,6.0
10,2007,232492.0,3,3,3,0,0,210.0,3.7,6.0,0,4.0
30,2020,25721.0,3,6,6,1,2,405.0,3.0,6.0,0,8.0
24,2020,20927.0,3,9,6,1,1,380.0,2.0,8.0,0,8.0
2,2021,2353.0,3,4,6,1,4,420.0,4.0,8.0,0,9.0
3,2022,9325.0,3,0,0,1,1,333.0,2.0,4.0,0,8.0
13,2020,61001.0,3,3,6,0,1,325.0,2.3,4.0,0,10.0
34,2018,71962.0,3,9,0,1,2,469.0,4.0,8.0,0,9.0
47,2023,5800.0,3,0,0,1,1,228.0,2.4,4.0,2,6.0
4,2016,40080.0,3,0,0,1,1,315.0,3.0,6.0,0,8.0
22,2020,57000.0,3,0,7,0,1,365.0,3.3,6.0,0,8.0
8,2022,7624.0,2,0,0,1,1,355.0,5.3,8.0,0,1.0
47,2004,122000.0,3,6,0,0,0,210.0,2.5,4.0,2,5.0
22,2023,459.0,3,4,0,1,1,199.5,2.5,4.0,0,8.0
4,2016,62500.0,3,0,5,0,2,425.0,3.0,6.0,0,7.0
18,2013,72000.0,3,3,0,1,0,429.0,5.0,8.0,0,8.0
34,2020,8375.0,3,0,0,1,3,362.0,3.0,8.0,0,99.0
4,2020,40000.0,3,1,0,1,2,523.0,4.4,8.0,0,8.0
47,2014,77000.0,3,3,0,0,1,305.0,2.5,4.0,2,6.0
34,2019,19593.0,3,0,0,1,4,362.0,4.0,8.0,0,7.0
32,2020,35902.0,3,1,0,1,1,184.0,2.5,4.0,0,6.0
18,2013,800.0,3,0,3,1,0,132.0,1.6,4.0,0,7.0
5,2023,2600.0,3,0,6,1,4,552.0,4.0,8.0,0,8.0
24,2023,6204.0,4,6,6,1,3,380.0,3.0,8.0,0,8.0
22,2020,69185.0,3,0,3,1,1,199.5,3.8,6.0,0,8.0
30,2015,45000.0,3,0,0,1,2,454.0,4.7,8.0,0,6.0
4,2020,37426.0,3,9,0,1,1,335.0,2.0,6.0,0,8.0
19,2011,137000.0,3,3,2,0,0,420.0,5.6,8.0,0,7.0
8,2023,4000.0,3,0,7,0,3,490.0,6.2,8.0,0,8.0
3,2023,4648.0,4,0,0,1,2,333.0,2.0,6.0,0,8.0
25,2018,52100.0,3,9,6,1,1,301.0,4.6,8.0,0,6.0
4,2014,50100.0,3,2,6,1,0,240.0,2.0,4.0,0,8.0
1,2020,41000.0,3,9,0,1,1,280.0,2.0,4.0,0,8.0
41,2021,70968.0,3,0,0,1,1,395.0,5.7,8.0,0,8.0
4,2015,26600.0,3,9,6,1,2,425.0,3.0,6.0,0,8.0
48,2022,15443.0,2,8,0,1,4,670.0,0.0,0.0,0,1.0
51,2018,95000.0,3,9,6,1,0,250.0,2.0,4.0,0,8.0
47,2005,94000.0,3,0,1,1,0,300.0,2.5,4.0,2,6.0
4,2020,45076.0,3,1,0,1,2,335.0,3.0,6.0,0,8.0
7,2014,110000.0,3,6,6,1,0,272.0,2.0,4.0,0,8.0
24,2016,49083.0,3,3,6,1,1,380.0,2.0,4.0,0,9.0
15,2017,63500.0,3,3,0,1,1,420.0,5.0,8.0,0,8.0
34,2009,21500.0,3,0,0,0,0,268.0,3.5,6.0,0,7.0
24,2023,324.0,3,0,6,1,4,380.0,4.4,8.0,0,8.0
22,2019,68166.0,3,0,0,1,1,199.5,1.6,4.0,0,8.0
49,2018,53607.0,3,0,0,0,1,268.0,3.5,6.0,0,8.0
4,2020,18200.0,3,9,6,0,1,228.0,2.0,4.0,0,8.0
3,2015,51000.0,3,9,0,0,4,550.0,5.2,10.0,0,8.0
3,2018,16400.0,3,1,7,1,2,292.0,2.0,4.0,0,8.0
49,2022,7000.0,4,5,6,1,3,437.0,3.4,6.0,0,10.0
3,2022,8497.0,3,9,0,1,2,333.0,3.0,6.0,0,8.0
3,2016,68000.0,3,9,0,0,0,252.0,2.0,4.0,0,8.0
23,2022,2523.0,3,3,6,1,4,571.0,5.2,10.0,2,7.0
4,2007,83000.0,3,0,2,1,0,230.0,3.0,6.0,0,6.0
3,2018,25000.0,3,3,0,1,2,354.0,3.0,6.0,0,8.0
7,2021,15689.0,0,8,0,1,4,400.0,3.0,6.0,0,10.0
4,2014,125450.0,3,1,0,1,0,320.0,3.0,6.0,2,6.0
22,2023,9822.0,3,0,3,1,2,199.5,3.8,6.0,0,8.0
8,2008,144000.0,3,9,3,1,1,323.0,6.0,8.0,0,6.0
14,2020,30900.0,3,9,0,1,1,355.0,2.5,4.0,0,9.0
4,2021,2492.0,3,1,0,1,2,335.0,2.0,6.0,0,8.0
3,2015,126760.0,3,0,0,0,0,211.0,2.0,4.0,0,8.0
47,2017,100680.0,3,2,6,1,1,256.0,3.6,6.0,0,5.0
36,2001,90400.0,3,8,6,1,0,140.0,2.4,4.0,0,4.5
4,2018,20500.0,3,3,0,1,3,600.0,4.4,8.0,0,8.0
10,2011,134000.0,3,0,3,0,0,390.0,5.7,8.0,0,8.0
