Make,Price,Year,Kilometer,Fuel Type,Transmission,Location,Color,Owner,Seller Type,Engine,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity,Horsepower,HP RPM,Torque,Torque RPM
0,2,2014,30180.6,2,0,49,2,1,2,2.967,0,5089.0,1983.0,1737.0,6.0,100.0,241.0,3800.0,550.0,1750
20,3,2016,29808.0,2,0,15,1,0,2,2.1430000000000002,2,4686.0,1810.0,1442.0,5.0,66.0,204.0,3800.0,500.0,1600
18,0,2020,3595.59,5,1,27,13,0,2,0.998,1,3565.0,1520.0,1564.0,5.0,27.0,67.0,5500.0,90.0,3500
17,1,2018,19872.0,2,1,54,14,0,2,2.179,2,4456.0,1820.0,1995.0,7.0,60.0,120.0,4000.0,280.0,1800
15,2,2020,40633.893,2,1,39,1,0,2,1.956,1,4655.0,1835.0,1760.0,5.0,60.0,169.0,3750.0,350.0,1750
18,0,2011,54169.83,2,1,27,13,0,2,1.248,1,3760.0,1690.0,1530.0,5.0,43.0,75.0,4000.0,190.0,2000
18,0,2017,23758.218,2,1,71,14,1,2,1.248,1,3840.0,1735.0,1530.0,5.0,37.0,74.0,4000.0,190.0,2000
7,1,2019,35323.101,5,1,39,13,0,2,1.497,1,4440.0,1695.0,1495.0,5.0,40.0,117.0,6600.0,145.0,4600
24,0,2014,44712.0,2,1,40,14,1,2,1.461,1,4315.0,1822.0,1695.0,5.0,50.0,108.0,3900.0,248.0,2250
0,1,2012,44712.0,2,0,27,14,3,2,1.968,0,4385.0,1831.0,1608.0,5.0,64.0,174.0,4200.0,380.0,1750
20,3,2014,37579.194,2,0,56,13,0,2,2.987,0,4781.0,1911.0,1774.0,5.0,95.0,234.0,3800.0,535.0,1600
31,1,2013,44178.561,2,0,50,13,0,2,1.984,1,4370.0,1783.0,1458.0,5.0,60.0,150.0,3500.0,350.0,1500
1,4,2018,25421.877,2,0,11,14,0,2,2.993,2,4899.0,2094.0,1464.0,5.0,65.0,258.0,4000.0,560.0,1500
18,0,2013,22977.0,2,1,64,5,0,2,1.248,1,3995.0,1695.0,1555.0,5.0,42.0,74.0,4000.0,190.0,2000
17,1,2019,28566.0,2,1,54,14,0,2,2.179,2,4456.0,1820.0,1995.0,7.0,60.0,120.0,4000.0,280.0,1800
7,0,2009,43594.2,5,0,45,7,1,2,1.497,1,4420.0,1695.0,1480.0,5.0,42.0,118.0,6600.0,146.0,4600
20,1,2012,40240.8,5,0,15,13,0,2,1.796,2,4596.0,1770.0,1447.0,5.0,66.0,186.0,5600.0,285.0,4000
8,1,2016,45333.0,2,0,14,13,0,2,1.582,1,4270.0,1780.0,1630.0,5.0,60.0,126.0,4000.0,265.0,1900
20,1,2012,44712.0,2,0,69,14,1,2,2.987,2,4868.0,1854.0,1471.0,5.0,80.0,231.0,3800.0,540.0,1600
20,3,2015,47410.245,2,0,24,14,0,2,2.997,0,4804.0,2141.0,1796.0,5.0,70.0,254.0,3600.0,619.0,1600
18,0,2017,25190.244,5,1,31,13,0,2,0.796,1,3395.0,1490.0,1475.0,5.0,35.0,47.0,6000.0,69.0,3500
8,0,2013,61168.5,2,1,10,13,0,2,1.336,1,3995.0,1710.0,1505.0,5.0,45.0,89.0,4000.0,219.744,1500
26,1,2020,29067.147,5,0,6,12,0,2,0.999,1,4413.0,1699.0,1466.0,5.0,55.0,109.0,5000.0,175.0,1750
28,0,2018,50301.0,5,0,70,12,0,2,1.198,1,3994.0,1811.0,1607.0,5.0,44.0,108.0,5000.0,170.0,1750
